latitude;longitude;nome;municipio;UF;pop_max
-5,53;-40,77;NOVO ORIENTE - CE;NOVO ORIENTE;CE;30 699
-17,41;-41,21;NOVO ORIENTE DE MINAS - MG;NOVO ORIENTE DE MINAS;MG;4 184
-6,44;-41,93;NOVO ORIENTE DO PIAUI - PI;NOVO ORIENTE DO PIAUI;PI;4 239
-13,24;-49,5;NOVO PLANALTO - GO;NOVO PLANALTO;GO;29 024
-7,14;-55,38;NOVO PROGRESSO - PA;NOVO PROGRESSO;PA;4 076
-4,33;-49,79;NOVO REPARTIMENTO - PA;NOVO REPARTIMENTO;PA;8 322
-5,28;-41,93;NOVO SANTO ANTONIO - PI;NOVO SANTO ANTONIO;PI;105 552
-14,9;-53,01;NOVO SAO JOAQUIM - MT;NOVO SAO JOAQUIM;MT;24 236
-27,56;-53,18;NOVO TIRADENTES - RS;NOVO TIRADENTES;RS;6 848
-10,31;-38,4;NOVO TRIUNFO - BA;NOVO TRIUNFO;BA;12 806
-16,01;-42,4;NOVORIZONTE - MG;NOVORIZONTE;MG;13 727
-20,73;-47,73;NUPORANGA - SP;NUPORANGA;SP;11 530
-1,91;-55,51;OBIDOS - PA;OBIDOS;PA;6 200
-4,49;-38,59;OCARA - CE;OCARA;CE;5 909
-22,43;-49,92;OCAUCU - SP;OCAUCU;SP;49 065
-7,02;-42,13;OEIRAS - PI;OEIRAS;PI;13 664
-2;-49,85;OEIRAS DO PARA - PA;OEIRAS DO PARA;PA;9 481
3,84;-51,83;OIAPOQUE - AP;OIAPOQUE;AP;39 509
-21,86;-43,93;OLARIA - MG;OLARIA;MG;24 345
-22,94;-49,34;OLEO - SP;OLEO;SP;4 412
-7,22;-37,75;OLHO D'AGUA - PB;OLHO D'AGUA;PB;3 969
-3,94;-45,11;OLHO D'AGUA DAS CUNHAS - MA;OLHO D'AGUA DAS CUNHAS;MA;15 761
-9,53;-37,29;OLHO D'AGUA DAS FLORES - AL;OLHO D'AGUA DAS FLORES;AL;1 846
-9,5;-37,83;OLHO D'AGUA DO CASADO - AL;OLHO D'AGUA DO CASADO;AL;23 818
